# Serial Number : 197
# Filtername    : WFCH6568
# Filtersystem  : Narrow Band
# Passband      : Halpha 6568/95
# FWHM          : 95
# Cosmetics     : The substrate coating is damaged around the very edge of the filter (~3-4mm). Dust specks on the filter
Mark from cleaning spray
# Measured      : 2019-07-29 12:13:46
# Wavelength Throughput
# nm %
630 -0.000186323
630.2 -0.000173415
630.4 -0.000200598
630.6 0.000148154
630.8 -0.000443146
631 9.47e-05
631.2 -1.25e-05
631.4 0.000326201
631.6 0.000489758
631.8 0.000818136
632 0.000395805
632.2 0.000425147
632.4 0.000342988
632.6 -4.12e-05
632.8 0.00042822
633 -0.00020708
633.2 4.8e-07
633.4 0.000167531
633.6 6.99e-05
633.8 -0.000278087
634 -0.000838473
634.2 9.86e-05
634.4 -0.000393001
634.6 -0.000450236
634.8 -0.000324756
635 -0.000353815
635.2 -0.000198778
635.4 -4.24e-05
635.6 0.000200032
635.8 0.000371642
636 0.000444952
636.2 1.45e-05
636.4 0.000187153
636.6 0.000693196
636.8 -0.000144355
637 0.00049302
637.2 0.000393248
637.4 0.000422672
637.6 0.000379803
637.8 0.000792624
638 0.00114595
638.2 0.00092764
638.4 0.000693847
638.6 0.00145043
638.8 0.000816719
639 0.000729234
639.2 0.00144449
639.4 0.00149521
639.6 0.00190397
639.8 0.00186201
640 0.00195609
640.2 0.00159941
640.4 0.00243546
640.6 0.00202953
640.8 0.00281258
641 0.00219249
641.2 0.00306979
641.4 0.00362085
641.6 0.00260929
641.8 0.00459032
642 0.00393566
642.2 0.00453412
642.4 0.00658081
642.6 0.00505294
642.8 0.00574015
643 0.00709663
643.2 0.00715415
643.4 0.00708735
643.6 0.00822505
643.8 0.00956586
644 0.0102824
644.2 0.0114307
644.4 0.0122552
644.6 0.0143732
644.8 0.0158708
645 0.015823
645.2 0.0191687
645.4 0.0196631
645.6 0.0210714
645.8 0.0244783
646 0.0274867
646.2 0.0304569
646.4 0.0351269
646.6 0.0384486
646.8 0.045451
647 0.0489456
647.2 0.0550048
647.4 0.0638422
647.6 0.0722347
647.8 0.0883396
648 0.104123
648.2 0.123872
648.4 0.147633
648.6 0.183314
648.8 0.227359
649 0.282544
649.2 0.366261
649.4 0.469206
649.6 0.613322
649.8 0.813278
650 1.10748
650.2 1.51993
650.4 2.11692
650.6 3.02142
650.8 4.34535
651 6.35655
651.2 9.3283
651.4 13.8792
651.6 20.7032
651.8 29.8921
652 41.4595
652.2 55.2032
652.4 68.277
652.6 78.647
652.8 84.9825
653 87.5848
653.2 87.922
653.4 87.0061
653.6 85.4537
653.8 84.1382
654 83.2918
654.2 82.8202
654.4 82.6094
654.6 82.4579
654.8 83.0435
655 83.3058
655.2 83.9539
655.4 84.7496
655.6 85.3629
655.8 86.0825
656 86.7907
656.2 87.5016
656.4 88.089
656.6 88.9434
656.8 89.448
657 89.9744
657.2 90.3372
657.4 90.5965
657.6 90.6443
657.8 90.6077
658 90.2579
658.2 89.8094
658.4 89.0118
658.6 87.9445
658.8 86.8498
659 85.7871
659.2 84.9054
659.4 84.2176
659.6 83.9322
659.8 84.1269
660 84.9851
660.2 86.1901
660.4 87.1576
660.6 86.9482
660.8 84.1369
661 77.3282
661.2 66.203
661.4 52.8747
661.6 39.5399
661.8 27.8319
662 19.0237
662.2 12.991
662.4 8.91391
662.6 6.10672
662.8 4.24473
663 2.99382
663.2 2.13755
663.4 1.55172
663.6 1.1293
663.8 0.839122
664 0.625507
664.2 0.468368
664.4 0.355639
664.6 0.278601
664.8 0.217552
665 0.174286
665.2 0.137628
665.4 0.110184
665.6 0.088549
665.8 0.0722585
666 0.0618356
666.2 0.0492199
666.4 0.0416076
666.6 0.0354457
666.8 0.0288344
667 0.0241823
667.2 0.0182379
667.4 0.0180613
667.6 0.0143957
667.8 0.0121642
668 0.00961087
668.2 0.00883842
668.4 0.00718533
668.6 0.00785822
668.8 0.00528427
669 0.00592793
669.2 0.00554249
669.4 0.00389405
669.6 0.00379223
669.8 0.00245393
670 0.00219733
670.2 0.0010661
670.4 0.00115508
670.6 0.00126618
670.8 0.000854157
671 0.00143464
671.2 -0.000396861
671.4 0.000603023
671.6 0.000114252
671.8 9.14e-05
672 -0.000472566
672.2 0.000958933
672.4 0.000419788
672.6 0.000197822
672.8 -0.000214803
673 -0.000490712
673.2 0.000673987
673.4 0.00060381
673.6 -0.000287619
673.8 0.000911702
674 -0.000399777
674.2 -0.000629329
674.4 -0.00118406
674.6 -0.000478014
674.8 -0.00111052
675 -0.000315704
675.2 -0.000877642
675.4 -0.0010801
675.6 -0.000619153
675.8 -0.000923485
676 -0.000224029
676.2 -0.00121712
676.4 -0.000315516
676.6 -0.000328317
676.8 4.85e-05
677 0.000159483
677.2 0.000188775
677.4 0.000109473
677.6 0.000581425
677.8 0.000181084
678 2.96e-05
678.2 -0.000236067
678.4 -7.32e-05
678.6 -0.000563716
678.8 -0.000372702
679 -0.000270086
679.2 -0.000225851
679.4 -0.000140436
679.6 -0.000126116
679.8 -1.41e-08
680 -0.000678347
