# ING Filter Throughput Data
# Serial Number : 227
# Filtername    : WFCED337
# Filtersystem  : Narrow Band
# Passband      : Unknown
# FWHM          : 80
# Cosmetics     : Very minor marks, but no fingerprints within clear aperture.
# Measured      : 2017-02-14 14:35:26
# Wavelength Throughput
# nm %
640 -0.00102329
640.1 -0.000309022
640.2 -0.000168579
640.3 -0.000464441
640.4 -0.000197106
640.5 -0.000733521
640.6 -0.000126969
640.7 -0.00052288
640.8 -0.000339596
640.9 -0.000226742
641 1.42e-05
641.1 -0.000198957
641.2 -0.000711533
641.3 -0.000170782
641.4 -2.85e-05
641.5 1.43e-05
641.6 -0.000414288
641.7 -0.000429306
641.8 -0.000401401
641.9 -0.000645658
642 -0.000201163
642.1 -0.000201506
642.2 -0.000504292
642.3 4.32e-05
642.4 -8.66e-05
642.5 0.00011574
642.6 -0.000159251
642.7 -0.000593777
642.8 -0.000391718
642.9 -0.000159788
643 -0.00020361
643.1 -0.000334718
643.2 -0.000598136
643.3 -0.000554746
643.4 -8.77e-05
643.5 -0.000205108
643.6 -0.000381295
643.7 -0.000454552
643.8 -0.000646827
643.9 -0.000603301
644 -0.000854138
644.1 -0.000811396
644.2 -0.000280828
644.3 -0.000813321
644.4 -0.000458596
644.5 -0.000415109
644.6 -0.000698007
644.7 -0.000208095
644.8 -0.000476263
644.9 -0.000134059
645 -0.000567043
645.1 -1.49e-05
645.2 0.000194627
645.3 -0.000269811
645.4 -0.000614497
645.5 -0.000270241
645.6 -0.000496001
645.7 -0.000316329
645.8 -1.51e-05
645.9 -0.000241612
646 -0.000754931
646.1 6.05e-05
646.2 0.000151486
646.3 0.000394619
646.4 -0.000121527
646.5 -0.000456291
646.6 -0.000441631
646.7 0.000335411
646.8 0.00045799
646.9 -0.00033621
647 0.000443819
647.1 0.000566736
647.2 0.000598098
647.3 0.000384028
647.4 6.15e-05
647.5 0.000769779
647.6 0.00038537
647.7 0.000463476
647.8 0.000865046
647.9 0.000139157
648 0.000914128
648.1 0.000465617
648.2 0.000264205
648.3 0.00125999
648.4 0.00101255
648.5 0.00081093
648.6 0.000937605
648.7 0.000874918
648.8 0.00101713
648.9 0.00117667
649 0.00133556
649.1 0.00130559
649.2 0.00114867
649.3 0.00176359
649.4 0.00105786
649.5 0.00164422
649.6 0.00117129
649.7 0.00155276
649.8 0.00176151
649.9 0.00138239
650 0.00229225
650.1 0.00191101
650.2 0.00186537
650.3 0.00255646
650.4 0.00185395
650.5 0.00269135
650.6 0.00274094
650.7 0.00303326
650.8 0.00361697
650.9 0.00342858
651 0.00356331
651.1 0.00419445
651.2 0.00515255
651.3 0.00399551
651.4 0.00478998
651.5 0.00552986
651.6 0.00511747
651.7 0.00613039
651.8 0.00589388
651.9 0.00629334
652 0.00571567
652.1 0.00696615
652.2 0.00803867
652.3 0.00891043
652.4 0.00848702
652.5 0.00941653
652.6 0.0109505
652.7 0.0102391
652.8 0.0115528
652.9 0.0111726
653 0.0111654
653.1 0.0120276
653.2 0.0126003
653.3 0.0131472
653.4 0.0144061
653.5 0.0147287
653.6 0.0158069
653.7 0.0165301
653.8 0.0170105
653.9 0.0184457
654 0.0198029
654.1 0.0206286
654.2 0.022277
654.3 0.023681
654.4 0.0244925
654.5 0.0254443
654.6 0.0271925
654.7 0.0290674
654.8 0.0307856
654.9 0.0323014
655 0.0344788
655.1 0.0337496
655.2 0.0380697
655.3 0.0410016
655.4 0.0454872
655.5 0.0463068
655.6 0.0486484
655.7 0.0537688
655.8 0.0560623
655.9 0.0596881
656 0.0641787
656.1 0.0683077
656.2 0.0733266
656.3 0.079352
656.4 0.0828746
656.5 0.0885847
656.6 0.0916578
656.7 0.0985014
656.8 0.107052
656.9 0.117477
657 0.126116
657.1 0.134193
657.2 0.143326
657.3 0.15518
657.4 0.166573
657.5 0.176934
657.6 0.196043
657.7 0.209139
657.8 0.227086
657.9 0.244185
658 0.266284
658.1 0.286636
658.2 0.310788
658.3 0.338173
658.4 0.370025
658.5 0.410781
658.6 0.444898
658.7 0.492315
658.8 0.531971
658.9 0.586855
659 0.64498
659.1 0.710017
659.2 0.786406
659.3 0.86939
659.4 0.966426
659.5 1.07114
659.6 1.17734
659.7 1.31142
659.8 1.44948
659.9 1.629
660 1.80914
660.1 2.03758
660.2 2.28307
